analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
full,6,107,677,0.91,0.81,0.97,41,1.79,0.06,0.29,63.41,15.97,5,PD_trend=PD_green | above_PDL=true | above_dayLowSoFar=true | dayBrokePDL=false | day_of_week=TUE,2024.01.09 08:04:01; 2024.05.28 15:48:08; 2024.06.11 11:54:45
full,6,116,155,0.98,0.23,0.71,45,1.79,0.07,0.31,64.44,17.52,8,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,80,1.79,0.13,0.51,63.75,31.74,7,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,38,1.79,0.07,0.29,63.16,14.95,5,PD_trend=PD_green | above_PDO=true | below_ONH=true | below_dayHighSoFar=true | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.16 14:50:18; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,40,1.78,0.07,0.32,65.0,16.15,4,above_PDC=true | above_PDO=true | levelTag=weeklyUp1 | openGap_info=unknown,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,40,1.78,0.07,0.32,65.0,16.14,5,above_ONL=true | above_PDC=true | above_PDO=true | above_dayLowSoFar=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,116,67,1.1,0.11,0.4,42,1.78,0.07,0.29,64.29,16.35,9,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,77,1.78,0.13,0.49,63.64,30.45,6,PD_trend=PD_green | above_ONH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,46,1.78,0.07,0.34,63.04,17.83,4,above_ONL=true | above_PDO=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,42,1.78,0.07,0.33,64.29,16.47,5,above_ONL=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,32,1.78,0.05,0.26,62.5,12.73,5,above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.02.02 13:16:57; 2024.02.09 14:33:04
full,6,101,1097,0.79,0.92,0.99,46,1.78,0.06,0.26,65.22,17.9,4,PD_trend=PD_green | below_PDC=true | below_PDH=true | dayBrokePDL=true,2024.01.16 20:13:38; 2024.01.31 15:48:41; 2024.03.05 16:10:15
full,6,107,677,0.91,0.81,0.97,91,1.78,0.15,0.54,63.74,35.86,4,PD_trend=PD_green | above_ONL=true | above_dayHighSoFar=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
full,6,107,677,0.91,0.81,0.97,52,1.78,0.09,0.33,63.46,20.26,5,PD_trend=PD_green | above_ONL=true | above_PDL=true | above_dayLowSoFar=true | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.16 14:50:18
full,6,107,677,0.91,0.81,0.97,35,1.77,0.06,0.26,62.86,13.75,7,PD_trend=PD_green | above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | levelTag=weeklyUp2,2024.01.10 01:34:35; 2024.01.19 20:14:02; 2024.01.24 16:43:08
ON,6,107,366,0.9,0.55,0.93,33,1.77,0.06,0.26,63.64,13.08,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
full,6,107,677,0.91,0.81,0.97,45,1.77,0.07,0.31,62.22,17.37,4,PD_trend=PD_green | above_PDC=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,40,1.77,0.07,0.31,62.5,15.33,5,above_ONH=true | above_ONL=true | above_PDO=true | above_dayHighSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.03.06 17:02:01
full,6,116,155,0.98,0.23,0.71,39,1.77,0.06,0.27,64.1,14.98,4,PD_trend=PD_green | above_ONL=true | above_PDH=true | above_dayHighSoFar=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,82,1.77,0.13,0.51,63.41,32.02,6,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
ON,6,107,366,0.9,0.55,0.93,79,1.76,0.13,0.49,63.29,30.73,7,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,101,1097,0.79,0.92,0.99,48,1.76,0.06,0.29,64.58,18.5,5,PD_trend=PD_green | below_ONH=true | below_PDC=true | below_dayHighSoFar=true | openGap_info=gapDown_Day,2024.01.16 20:13:38; 2024.01.31 15:48:41; 2024.02.05 16:05:26
full,6,107,677,0.91,0.81,0.97,47,1.76,0.07,0.31,63.83,18.05,4,PD_trend=PD_green | above_ONL=true | above_dayHighSoFar=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
RTH-afterIB,6,109,204,0.83,0.31,0.75,42,1.76,0.07,0.29,64.29,16.0,9,above_RTHL=true | above_dayLowSoFar=true | below_IBH=true | below_ONH=true | below_ONL=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
ON,6,107,366,0.9,0.55,0.93,39,1.76,0.06,0.3,64.1,15.02,7,above_ONL=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,107,677,0.91,0.81,0.97,43,1.76,0.08,0.28,62.79,16.61,4,PD_trend=PD_green | above_PDO=true | dayBrokePDL=false | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.11 16:07:39
full,6,111,459,0.77,0.58,0.93,45,1.76,0.06,0.3,64.44,17.71,5,below_PDH=true | below_PDO=true | below_dayHighSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
ON,6,107,366,0.9,0.55,0.93,44,1.76,0.07,0.29,63.64,16.83,5,PD_trend=PD_green | above_ONH=true | above_dayHighSoFar=true | dayBrokePDH=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,40,1.76,0.07,0.29,62.5,15.58,4,PD_trend=PD_green | above_PDC=true | dayBrokePDH=false | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
RTH-afterIB,6,113,104,0.85,0.16,0.55,40,1.76,0.06,0.26,62.5,15.35,10,below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true | below_midpoint=true | dayBrokePDH=false | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,107,677,0.91,0.81,0.97,56,1.75,0.08,0.36,62.5,21.35,4,PD_trend=PD_green | above_PDL=true | above_dayLowSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,107,677,0.91,0.81,0.97,46,1.75,0.08,0.31,63.04,17.86,5,PD_trend=PD_green | above_ONH=true | above_dayHighSoFar=true | dayBrokePDH=false | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
full,6,107,677,0.91,0.81,0.97,93,1.75,0.15,0.54,63.44,35.7,4,PD_trend=PD_green | above_ONH=true | above_ONL=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.10 01:34:35; 2024.01.11 01:45:00
RTH-afterIB,6,113,104,0.85,0.16,0.55,40,1.75,0.06,0.27,62.5,15.29,10,below_IBH=true | below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_RTHH=true | below_dayHighSoFar=true | below_midpoint=true | dayBrokePDH=false | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
RTH-afterIB,6,114,136,0.73,0.18,0.64,42,1.75,0.07,0.29,61.9,15.03,4,above_ONL=true | above_PDL=true | below_PDH=true | below_dayHighSoFar=true,2024.01.09 19:33:56; 2024.01.26 18:49:54; 2024.01.30 16:45:52
RTH-afterIB,6,113,104,0.85,0.16,0.55,41,1.75,0.06,0.28,63.41,15.84,5,below_PDC=true | below_PDH=true | dayBrokePDH=false | dayBrokePDL=true | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,106,337,0.84,0.44,0.88,45,1.75,0.06,0.29,64.44,17.34,9,below_ONH=true | below_ONL=true | below_PDC=true | below_PDH=true | below_dayHighSoFar=true | below_dayLowSoFar=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
ON,6,107,366,0.9,0.55,0.93,79,1.75,0.13,0.5,63.29,30.28,8,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,116,155,0.98,0.23,0.71,47,1.75,0.08,0.32,63.83,17.65,5,PD_trend=PD_green | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,34,1.75,0.06,0.27,64.71,13.38,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | levelTag=weeklyUp1 | openGap_info=unknown,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
RTH-afterIB,6,113,104,0.85,0.16,0.55,38,1.75,0.06,0.26,63.16,14.7,4,below_PDC=true | below_PDO=true | dayBrokePDH=false | dayBrokePDL=true,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,107,677,0.91,0.81,0.97,55,1.75,0.08,0.34,63.64,20.7,4,PD_trend=PD_green | above_ONL=true | above_midpoint=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,111,459,0.77,0.58,0.93,42,1.75,0.07,0.31,64.29,15.94,4,above_PDL=true | below_ONH=true | below_PDH=true | day_of_week=WED,2024.01.24 21:18:29; 2024.02.28 10:41:09; 2024.04.03 15:22:42
ON,6,107,366,0.9,0.55,0.93,34,1.74,0.06,0.27,64.71,13.34,5,above_ONH=true | above_PDC=true | above_PDO=true | above_dayHighSoFar=true | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
RTH-afterIB,6,114,136,0.73,0.18,0.64,39,1.74,0.06,0.27,61.54,13.7,4,above_ONL=true | above_RTHL=true | below_PDH=true | below_dayHighSoFar=true,2024.01.09 19:33:56; 2024.01.30 16:45:52; 2024.02.12 20:15:40
full,6,107,677,0.91,0.81,0.97,41,1.74,0.07,0.28,63.41,15.42,4,PD_trend=PD_green | above_PDO=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.02.05 16:05:26; 2024.02.28 03:27:59
full,6,107,677,0.91,0.81,0.97,53,1.74,0.07,0.34,62.26,19.94,4,PD_trend=PD_green | above_PDO=true | above_dayLowSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
ON,6,107,366,0.9,0.55,0.93,38,1.74,0.07,0.29,63.16,14.46,4,above_PDO=true | above_midpoint=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
RTH-afterIB,6,113,104,0.85,0.16,0.55,46,1.74,0.07,0.3,63.04,17.4,6,below_PDH=true | below_RTHH=true | below_dayHighSoFar=true | dayBrokePDH=false | dayBrokePDL=true | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
ON,6,107,366,0.9,0.55,0.93,49,1.74,0.08,0.3,63.27,18.3,4,PD_trend=PD_green | above_midpoint=true | dayBrokePDH=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,116,67,1.1,0.11,0.4,41,1.74,0.07,0.27,63.41,15.24,7,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,38,1.74,0.07,0.27,63.16,14.21,4,PD_trend=PD_green | above_PDO=true | levelTag=weeklyPivot | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
full,6,107,677,0.91,0.81,0.97,53,1.73,0.08,0.38,62.26,20.16,4,above_PDL=true | above_PDO=true | above_dayLowSoFar=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
full,6,116,155,0.98,0.23,0.71,44,1.73,0.07,0.3,63.64,16.24,4,PD_trend=PD_green | above_ONL=true | above_dayHighSoFar=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
full,6,116,155,0.98,0.23,0.71,44,1.73,0.07,0.3,63.64,16.23,4,PD_trend=PD_green | above_ONL=true | above_PDC=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,38,1.73,0.07,0.27,63.16,14.32,5,above_ONH=true | above_dayHighSoFar=true | dayBrokePDL=false | levelTag=weeklyUp1 | openGap_info=unknown,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,40,1.73,0.07,0.29,62.5,15.01,5,PD_trend=PD_green | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | levelTag=weeklyUp2,2024.01.09 08:04:01; 2024.01.10 01:34:35; 2024.01.19 20:14:02
full,6,106,337,0.84,0.44,0.88,42,1.73,0.06,0.29,64.29,15.8,4,below_PDO=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
full,6,107,677,0.91,0.81,0.97,44,1.72,0.08,0.29,63.64,16.28,4,above_PDL=true | below_PDC=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.02.05 16:05:26; 2024.02.06 11:36:20; 2024.02.13 01:31:20
RTH-IB,6,107,98,0.97,0.16,0.53,38,1.72,0.06,0.29,63.16,14.19,3,above_PDL=true | below_PDH=true | dayBrokePDL=false,2024.01.08 16:30:01; 2024.01.11 16:07:39; 2024.01.29 16:12:44
ON,6,107,366,0.9,0.55,0.93,38,1.72,0.07,0.27,63.16,14.28,5,above_ONH=true | above_PDC=true | above_dayHighSoFar=true | dayBrokePDL=false | levelTag=weeklyUp1,2024.01.25 01:35:50; 2024.02.02 13:16:57; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,41,1.72,0.07,0.29,63.41,15.17,4,PD_trend=PD_green | above_dayLowSoFar=true | dayBrokePDH=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.02.28 03:27:59; 2024.02.29 14:35:29
ON,6,116,67,1.1,0.11,0.4,41,1.72,0.07,0.28,63.41,15.06,10,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,39,1.72,0.07,0.3,64.1,14.76,4,above_PDO=true | above_midpoint=true | levelTag=weeklyUp1 | openGap_info=unknown,2024.02.02 13:16:57; 2024.02.07 15:29:18; 2024.02.22 09:00:55
ON,6,107,366,0.9,0.55,0.93,52,1.72,0.09,0.37,63.46,19.55,5,above_ONH=true | above_PDC=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDH=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
full,6,107,677,0.91,0.81,0.97,39,1.72,0.06,0.27,61.54,14.36,8,above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 20:51:55; 2024.01.24 16:43:08; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,40,1.71,0.06,0.29,62.5,14.68,5,PD_trend=PD_green | above_PDL=true | below_PDH=true | dayBrokePDL=false | day_of_week=TUE,2024.01.09 08:04:01; 2024.04.23 01:14:22; 2024.04.30 14:31:43
full,6,107,677,0.91,0.81,0.97,49,1.71,0.08,0.31,63.27,17.89,4,PD_trend=PD_green | above_ONH=true | above_ONL=true | dayBrokePDH=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,116,155,0.98,0.23,0.71,49,1.71,0.08,0.33,63.27,17.65,5,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.07 15:29:18
ON,6,107,366,0.9,0.55,0.93,41,1.71,0.07,0.32,63.41,14.98,4,above_PDC=true | above_PDL=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,107,677,0.91,0.81,0.97,50,1.71,0.08,0.37,62.0,18.03,5,above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
ON,6,107,366,0.9,0.55,0.93,60,1.71,0.09,0.36,63.33,21.97,10,above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,101,1097,0.79,0.92,0.99,50,1.71,0.06,0.29,64.0,18.26,5,PD_trend=PD_green | below_ONH=true | below_PDH=true | below_dayHighSoFar=true | openGap_info=gapDown_Day,2024.01.16 20:13:38; 2024.01.31 15:48:41; 2024.02.05 16:05:26
full,6,111,459,0.77,0.58,0.93,47,1.71,0.08,0.35,63.83,17.04,4,above_PDL=true | below_ONH=true | dayBrokePDL=false | day_of_week=WED,2024.01.24 21:18:29; 2024.02.28 10:41:09; 2024.04.03 15:22:42
full,6,107,677,0.91,0.81,0.97,35,1.71,0.06,0.28,62.86,12.7,4,PD_trend=PD_red | above_PDL=true | below_ONL=true | below_PDC=true,2024.01.12 12:50:09; 2024.04.10 14:30:04; 2024.04.19 01:53:47
full,6,107,677,0.91,0.81,0.97,39,1.71,0.06,0.28,61.54,14.25,9,above_ONH=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED,2024.01.10 20:51:55; 2024.01.24 16:43:08; 2024.02.07 15:29:18
full,6,107,677,0.91,0.81,0.97,37,1.71,0.06,0.26,62.16,13.54,4,PD_trend=PD_green | dayBrokePDH=true | dayBrokePDL=false | levelTag=weeklyUp2,2024.01.11 16:07:39; 2024.01.19 20:14:02; 2024.01.24 16:43:08
ON,6,101,675,0.74,0.78,0.99,39,1.7,0.06,0.28,64.1,14.22,5,above_PDL=true | below_PDC=true | below_PDH=true | day_of_week=FRI | openGap_info=unknown,2024.01.12 12:49:00; 2024.01.26 08:53:09; 2024.01.26 10:43:32
ON,6,116,67,1.1,0.11,0.4,38,1.7,0.06,0.26,63.16,13.67,11,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,93,1.7,0.15,0.56,62.37,33.84,5,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_dayLowSoFar=true | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,111,459,0.77,0.58,0.93,58,1.7,0.08,0.35,63.79,21.5,4,below_PDH=true | below_dayHighSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
ON,6,107,366,0.9,0.55,0.93,65,1.7,0.1,0.37,63.08,23.49,4,above_PDH=true | above_midpoint=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,48,1.7,0.08,0.3,62.5,17.31,5,above_PDL=true | above_dayLowSoFar=true | below_ONH=true | below_dayHighSoFar=true | levelTag=weeklyPivot,2024.02.06 11:36:20; 2024.02.13 01:31:20; 2024.02.16 14:50:18
ON,6,107,366,0.9,0.55,0.93,93,1.7,0.15,0.57,62.37,33.79,4,PD_trend=PD_green | above_PDC=true | dayBrokePDL=false | openGap_info=unknown,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
ON,6,107,366,0.9,0.55,0.93,93,1.7,0.15,0.57,62.37,33.78,5,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_dayLowSoFar=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,109,700,0.82,0.73,0.87,34,1.7,0.06,0.29,61.76,11.86,7,above_ONL=true | above_PDC=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:01; 2024.05.21 21:35:06; 2024.06.25 20:28:40
full,6,107,677,0.91,0.81,0.97,47,1.7,0.07,0.34,61.7,17.19,6,above_PDC=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
RTH-afterIB,6,109,204,0.83,0.31,0.75,41,1.7,0.06,0.29,63.41,14.66,9,above_RTHL=true | above_dayLowSoFar=true | below_IBH=true | below_ONH=true | below_PDC=true | below_PDH=true | below_PDO=true | below_RTHH=true | below_dayHighSoFar=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
full,6,106,337,0.84,0.44,0.88,47,1.7,0.06,0.29,63.83,17.18,6,below_ONH=true | below_PDC=true | below_PDH=true | below_dayHighSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.31 20:01:03; 2024.02.21 01:58:08; 2024.02.21 21:21:11
ON,6,107,366,0.9,0.55,0.93,43,1.69,0.08,0.29,62.79,15.4,5,above_ONL=true | above_PDO=true | above_dayLowSoFar=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
full,6,116,155,0.98,0.23,0.71,49,1.69,0.08,0.31,63.27,17.37,9,above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,62,1.69,0.11,0.39,61.29,21.78,4,PD_trend=PD_green | above_PDO=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.01.19 14:04:11; 2024.02.05 16:05:26
ON,6,107,366,0.9,0.55,0.93,38,1.69,0.06,0.29,63.16,13.57,6,above_ONL=true | above_PDC=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,107,677,0.91,0.81,0.97,40,1.68,0.07,0.27,62.5,14.31,5,above_ONL=true | above_PDL=true | below_ONH=true | below_dayHighSoFar=true | levelTag=weeklyPivot,2024.02.06 11:36:20; 2024.02.13 01:31:20; 2024.02.16 14:50:18
ON,6,107,366,0.9,0.55,0.93,99,1.68,0.16,0.55,62.63,35.41,5,above_ONH=true | above_PDC=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.01.19 14:04:11
full,6,107,677,0.91,0.81,0.97,65,1.68,0.1,0.37,63.08,23.12,4,above_ONH=true | above_ONL=true | above_PDH=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
RTH-afterIB,6,109,204,0.83,0.31,0.75,38,1.68,0.06,0.28,63.16,13.44,4,below_ONL=true | below_PDC=true | below_PDO=true | below_midpoint=true,2024.01.11 17:50:11; 2024.05.22 21:32:05; 2024.07.18 19:22:20
ON,6,116,67,1.1,0.11,0.4,43,1.68,0.07,0.29,62.79,15.07,8,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,48,1.68,0.07,0.3,62.5,16.83,4,PD_trend=PD_green | above_PDH=true | dayBrokePDH=true | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
