analysis_set,min_trades_threshold,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_traderate,magic_prefix_weekly_traderate,grp_trades,grp_pf,grp_traderate,grp_weekly_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
RTH-afterIB,6,113,104,0.85,0.16,0.55,39,2.03,0.06,0.27,66.67,18.72,5,below_PDC=true | below_RTHH=true | below_dayHighSoFar=true | dayBrokePDH=false | dayBrokePDL=true,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
ON,6,107,366,0.9,0.55,0.93,54,2.02,0.08,0.34,66.67,25.27,10,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,111,459,0.77,0.58,0.93,40,2.01,0.06,0.28,67.5,19.24,6,below_ONL=true | below_PDO=true | below_dayLowSoFar=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
ON,6,107,366,0.9,0.55,0.93,51,2.01,0.08,0.33,66.67,23.81,11,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,43,2.0,0.06,0.3,65.12,19.95,5,PD_trend=PD_green | above_ONH=true | above_dayHighSoFar=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
full,6,111,459,0.77,0.58,0.93,46,2.0,0.06,0.3,67.39,21.86,4,below_PDC=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
full,6,111,459,0.77,0.58,0.93,46,1.99,0.06,0.29,67.39,21.77,8,below_ONH=true | below_ONL=true | below_PDH=true | below_dayHighSoFar=true | below_dayLowSoFar=true | below_midpoint=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
ON,6,107,366,0.9,0.55,0.93,35,1.98,0.06,0.26,65.71,16.37,5,PD_trend=PD_green | above_ONH=true | above_PDL=true | above_dayHighSoFar=true | dayBrokePDH=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
full,6,107,677,0.91,0.81,0.97,50,1.98,0.07,0.33,66.0,22.77,5,PD_trend=PD_green | above_PDL=true | above_PDO=true | dayBrokePDL=false | day_of_week=TUE,2024.01.09 08:04:01; 2024.04.23 01:14:22; 2024.05.28 15:48:08
full,6,109,700,0.82,0.73,0.87,31,1.97,0.05,0.26,64.52,13.59,5,above_ONH=true | above_ONL=true | above_dayHighSoFar=true | day_of_week=TUE | levelTag=dailyUp1,2024.01.23 21:12:01; 2024.05.21 21:35:06; 2024.06.25 20:28:40
full,6,101,1097,0.79,0.92,0.99,38,1.97,0.07,0.27,65.79,17.96,6,above_ONL=true | above_dayLowSoFar=true | below_PDC=true | below_PDH=true | below_PDO=true | levelTag=dailyDown1,2024.01.08 07:53:31; 2024.01.26 10:43:32; 2024.02.13 11:27:26
full,6,107,677,0.91,0.81,0.97,46,1.96,0.07,0.33,65.22,21.25,4,above_PDO=true | above_dayLowSoFar=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
ON,6,107,366,0.9,0.55,0.93,38,1.96,0.07,0.27,65.79,17.18,5,PD_trend=PD_green | above_ONL=true | above_dayLowSoFar=true | levelTag=weeklyPivot | openGap_info=unknown,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,39,1.95,0.06,0.29,66.67,17.83,4,above_PDL=true | above_PDO=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
RTH-afterIB,6,113,104,0.85,0.16,0.55,38,1.95,0.06,0.26,65.79,17.39,9,below_IBH=true | below_ONH=true | below_PDC=true | below_PDH=true | below_RTHH=true | below_dayHighSoFar=true | dayBrokePDH=false | dayBrokePDL=true | openGap_info=gapDown_Day,2024.01.17 18:43:53; 2024.01.31 20:01:03; 2024.02.13 20:04:01
full,6,107,677,0.91,0.81,0.97,59,1.95,0.09,0.36,66.1,26.33,9,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,34,1.95,0.06,0.28,64.71,15.46,5,above_ONL=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | day_of_week=FRI,2024.01.19 14:04:11; 2024.02.02 13:16:57; 2024.02.09 14:33:04
full,6,107,677,0.91,0.81,0.97,40,1.95,0.06,0.29,65.0,18.28,4,above_PDO=true | above_midpoint=true | dayBrokePDL=false | day_of_week=FRI,2024.01.19 14:04:11; 2024.01.19 19:12:52; 2024.01.19 20:14:02
ON,6,107,366,0.9,0.55,0.93,38,1.94,0.07,0.28,65.79,16.9,4,PD_trend=PD_green | above_PDO=true | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.19 14:04:11; 2024.02.16 14:50:18; 2024.02.28 03:27:59
full,6,111,459,0.77,0.58,0.93,48,1.94,0.07,0.31,66.67,22.03,6,below_ONH=true | below_PDC=true | below_PDH=true | below_dayHighSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
full,6,107,677,0.91,0.81,0.97,46,1.93,0.07,0.32,65.22,20.17,3,PD_trend=PD_green | above_dayLowSoFar=true | day_of_week=TUE,2024.01.09 08:04:01; 2024.03.05 20:59:49; 2024.05.28 15:48:08
full,6,111,459,0.77,0.58,0.93,45,1.93,0.06,0.29,66.67,20.36,5,below_ONL=true | below_PDC=true | below_dayLowSoFar=true | dayBrokePDH=false | day_of_week=WED,2024.01.17 15:34:54; 2024.01.31 20:01:51; 2024.02.28 10:41:09
full,6,101,1097,0.79,0.92,0.99,51,1.93,0.06,0.29,66.67,22.48,4,PD_trend=PD_green | below_PDC=true | below_PDH=true | openGap_info=gapDown_Day,2024.01.16 20:13:38; 2024.01.31 15:48:41; 2024.02.05 16:05:26
ON,6,107,366,0.9,0.55,0.93,37,1.93,0.06,0.27,64.86,16.65,7,PD_trend=PD_green | above_ONH=true | above_ONL=true | above_dayHighSoFar=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDH=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
ON,6,107,366,0.9,0.55,0.93,49,1.92,0.09,0.35,65.31,21.69,5,above_ONH=true | above_PDO=true | above_dayHighSoFar=true | dayBrokePDH=false | dayBrokePDL=false,2024.01.10 01:34:35; 2024.01.11 01:45:00; 2024.02.02 13:16:57
full,6,107,677,0.91,0.81,0.97,41,1.92,0.07,0.29,65.85,18.04,4,PD_trend=PD_green | dayBrokePDH=false | dayBrokePDL=false | levelTag=weeklyPivot,2024.01.08 16:30:01; 2024.02.05 16:05:26; 2024.02.28 03:27:59
ON,6,107,366,0.9,0.55,0.93,55,1.91,0.09,0.34,65.45,23.81,9,PD_trend=PD_green | above_ONL=true | above_PDC=true | above_PDH=true | above_PDL=true | above_PDO=true | above_dayLowSoFar=true | above_midpoint=true | dayBrokePDL=false,2024.01.19 14:04:11; 2024.02.07 15:29:18; 2024.02.09 14:33:04
ON,6,107,366,0.9,0.55,0.93,41,1.9,0.07,0.32,65.85,17.81,6,above_ONL=true | above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | day_of_week=WED | openGap_info=unknown,2024.01.10 01:34:35; 2024.02.07 15:29:18; 2024.02.14 12:12:51
full,6,107,677,0.91,0.81,0.97,47,1.9,0.07,0.33,63.83,20.22,4,PD_trend=PD_green | above_midpoint=true | dayBrokePDL=false | day_of_week=WED,2024.01.10 01:34:35; 2024.01.10 20:51:55; 2024.01.24 16:43:08
