magic	combo_position	ref1	ref2	openGap_info	PD_trend	dayBrokePDH	dayBrokePDL	count	winrate	avg_profit
121	price-betweenH-L	PDC	RTHL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	PDC	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	PDC	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	PDC	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	PDL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	ONL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	RTHL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	RTHH	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	PDL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	ONL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	RTHL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-betweenH-L	dayHighSoFar	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	ONH	RTHH	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-below	ONH	IBH	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-below	ONH	dayHighSoFar	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	PDO	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	PDL	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	PDC	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	ONL	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	RTHL	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	IBL	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	dayLowSoFar	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-betweenH-L	ONH	midpoint	gapDown_Day	PD_green	true	true	3	1.0	153.23
121	price-below	PDH	PDC	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	PDH	RTHH	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	PDH	dayHighSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	PDC	RTHH	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	PDC	dayHighSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-below	RTHH	dayHighSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDL	ONL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDL	RTHL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDL	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDL	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	PDL	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	ONL	RTHL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	ONL	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	ONL	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	ONL	midpoint	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	RTHL	IBL	gapDown_Day	PD_green	false	true	3	1.0	146.35
121	price-above	RTHL	dayLowSoFar	gapDown_Day	PD_green	false	true	3	1.0	146.35
122	price-betweenH-L	ONH	midpoint	gapDown_Day	PD_red	false	true	3	1.0	145.49
122	price-betweenH-L	IBH	midpoint	gapDown_Day	PD_red	false	true	3	1.0	145.49
122	price-betweenH-L	PDL	midpoint	gapDown_Day	PD_red	false	true	3	1.0	145.49
122	price-betweenH-L	IBH	RTHL	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	IBH	ONL	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	IBH	dayHighSoFar	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	RTHH	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	ONH	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	PDL	IBL	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	PDC	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	IBH	IBL	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	PDL	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	IBH	dayLowSoFar	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	PDH	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	ONH	IBL	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-below	PDO	IBH	gapDown_Day	PD_red	false	true	5	0.8	87.55
122	price-betweenH-L	PDC	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-betweenH-L	RTHH	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-above	ONL	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-betweenH-L	PDH	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-above	RTHL	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-betweenH-L	dayHighSoFar	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-above	IBL	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-above	dayLowSoFar	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
122	price-betweenH-L	PDO	midpoint	gapDown_Day	PD_red	false	true	4	0.75	72.43
121	price-above	RTHL	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-above	RTHL	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-above	IBL	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDO	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDO	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDO	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDH	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDH	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDH	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDC	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDC	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	PDC	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONH	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONH	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONH	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONL	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
122	price-betweenH-L	PDO	midpoint	gapUp_Day	PD_red	false	true	3	0.667	51.88
121	price-below	PDC	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	PDC	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	ONL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONH	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	RTHH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	ONL	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	RTHH	IBH	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	RTHH	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	RTHH	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	IBH	dayHighSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	IBH	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-below	dayHighSoFar	midpoint	gapUp_Day	PD_green	false	true	3	0.667	48.06
122	price-betweenH-L	PDL	dayLowSoFar	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	PDL	RTHL	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	PDL	ONL	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-betweenH-L	PDH	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-betweenH-L	PDO	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-above	IBL	dayLowSoFar	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-above	RTHL	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-above	ONL	IBL	gapDown_Day	PD_red	false	true	6	0.667	48.5
122	price-below	ONH	dayHighSoFar	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	ONH	RTHH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDC	ONH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDL	dayHighSoFar	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDL	RTHH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDL	ONH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDL	PDC	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDH	ONH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDH	PDL	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDO	ONH	gapDown_Day	PD_red	false	true	6	0.667	48.41
122	price-below	PDO	PDL	gapDown_Day	PD_red	false	true	6	0.667	48.41
121	price-betweenH-L	ONL	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	ONL	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	RTHH	RTHL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	RTHH	IBL	gapUp_Day	PD_green	false	true	3	0.667	48.06
121	price-betweenH-L	RTHH	dayLowSoFar	gapUp_Day	PD_green	false	true	3	0.667	48.06
