date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,time_to_reach_neutral_TP,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.05,US500.pro,2026.01.05 16:27:34,2026.01.05 16:37:06,RTH-IB,142160014110002222,6950.6,6952.5,-1.9,-0.36,DEAL_TYPE_SELL,0.1,-6.9,1,8,terribletrade_try_smaller_loss_TP,profit=-1.9|target=-2.0|MAE=-6.9,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,1.4,11.0,11.0,0.0018,-0.029,1,565,,,4.39,gapUp_Day,PD_red,true,false,RTHH;dayHighSoFar,PDO;PDH;PDL;PDC;ONH;ONL;RTHL;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,0,0,0,0
2026.01.06,US500.pro,2026.01.06 15:57:22,2026.01.06 16:34:29,RTH-IB,142270014110002222,6967.6,6969.3,-1.7,-0.33,DEAL_TYPE_SELL,0.1,-9.9,2,30,terribletrade_try_smaller_loss_TP,profit=-1.7|target=-2.0|MAE=-9.9,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6969.0,weeklyUp2,1,1,1.4,11.0,11.0,0.0023,-0.010,5,2186,,,100.00,gapUp_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;RTHL;dayHighSoFar;dayLowSoFar;midpoint,weekly_stacked_tuesday,0,0,0,0
2026.01.09,US500.pro,2026.01.09 18:33:07,2026.01.09 18:44:00,RTH-afterIB,142580014110002222,7008.8,7005.5,3.3,0.61,DEAL_TYPE_SELL,3.3,-1.2,11,1,strong_momentum_stall,profit=3.3|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,7010.0,weeklyUp3,1,1,1.2,11.0,11.0,0.5617,0.061,364,232,608,28,100.00,gapUp_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,weekly,0,0,0,0
