analysis_set,magic_prefix,magic_prefix_trades,magic_prefix_pf,magic_prefix_trade_rate,grp_trades,grp_pf,grp_traderate,grp_winrate,grp_net_profit,variable_count,variables,grouping_sampledates
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_dayHighSoFar=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | above_ONL=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_dayHighSoFar=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_dayHighSoFar=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_ONH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | below_PDO=true | below_PDH=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,openGap_info=unknown | dayBrokePDH=false | below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | above_ONL=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_dayHighSoFar=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_dayHighSoFar=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_ONH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_ONH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_ONH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_PDH=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_PDH=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_PDH=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,below_PDO=true | below_PDH=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,dayBrokePDH=false | below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,dayBrokePDH=false | below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,dayBrokePDH=false | below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,dayBrokePDH=false | below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,dayBrokePDH=false | below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | dayBrokePDH=false | below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | above_ONL=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_dayHighSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,3,openGap_info=unknown | dayBrokePDH=false | below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,below_PDO=true | below_ONH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,below_PDO=true | below_PDH=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,dayBrokePDH=false | below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,2,openGap_info=unknown | below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,1,below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
ON,10,5,0.78,40.0,4,999.0,40.0,100.0,1.62,4,below_PDO=true | below_dayHighSoFar=true | above_ONL=true | above_dayLowSoFar=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
full,10,12,0.49,70.0,4,999.0,40.0,100.0,1.62,2,openGap_info=unknown | below_PDO=true,2026.01.05 03:37:02; 2026.01.12 09:39:14; 2026.01.14 02:48:19; 2026.01.16 12:56:04
RTH,12,5,2.8,50.0,5,2.8,50.0,60.0,1.24,1,above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34; 2026.01.14 16:06:48
RTH,12,5,2.8,50.0,5,2.8,50.0,60.0,1.24,1,above_dayLowSoFar=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34; 2026.01.14 16:06:48
RTH,12,5,2.8,50.0,5,2.8,50.0,60.0,1.24,2,above_dayLowSoFar=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34; 2026.01.14 16:06:48
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,2,dayBrokePDH=false | below_PDH=true,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,3,dayBrokePDH=false | below_PDH=true | above_dayLowSoFar=true,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,1,below_PDH=true,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,1,dayBrokePDH=false,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,2,below_PDH=true | above_dayLowSoFar=true,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
full,12,8,1.7,60.0,5,2.49,50.0,60.0,1.07,2,dayBrokePDH=false | above_dayLowSoFar=true,2026.01.06 03:48:49; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48; 2026.01.15 12:19:38
RTH-IB,12,4,1.91,40.0,4,1.91,40.0,50.0,0.63,1,above_dayLowSoFar=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.12 15:41:34; 2026.01.14 16:06:48
full,12,8,1.7,60.0,4,1.83,40.0,50.0,0.6,1,below_dayHighSoFar=true,2026.01.05 16:27:34; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48
full,12,8,1.7,60.0,4,1.83,40.0,50.0,0.6,2,below_dayHighSoFar=true | above_dayLowSoFar=true,2026.01.05 16:27:34; 2026.01.09 10:38:02; 2026.01.12 15:41:34; 2026.01.14 16:06:48
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_ONL=true | above_dayLowSoFar=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_ONL=true | above_dayLowSoFar=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_ONL=true | above_dayLowSoFar=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_midpoint=true | above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_dayLowSoFar=true | above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_dayLowSoFar=true | above_midpoint=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_dayLowSoFar=true | above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_midpoint=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_dayLowSoFar=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_dayLowSoFar=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_ONL=true | above_dayLowSoFar=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_midpoint=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_dayLowSoFar=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_dayLowSoFar=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_dayLowSoFar=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_ONL=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_ONL=true | above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,3,above_PDL=true | above_ONL=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_ONL=true | above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDO=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_midpoint=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_dayLowSoFar=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_dayLowSoFar=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_ONL=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_ONL=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_ONL=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_ONL=true | above_dayLowSoFar=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDL=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDL=true | above_PDO=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDL=true | above_midpoint=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDL=true | above_dayLowSoFar=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,2,above_PDL=true | above_ONL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
RTH,12,5,2.8,50.0,4,1.71,40.0,50.0,0.49,4,above_PDL=true | above_dayLowSoFar=true | above_midpoint=true | above_RTHL=true,2026.01.05 16:27:34; 2026.01.06 15:57:22; 2026.01.09 18:33:07; 2026.01.12 15:41:34
