date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,MAEfirst15,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.08,US500.pro,2026.01.08 06:14:19,2026.01.08 06:41:53,ON,281460004110000909,6952.3,6947.8,-4.5,-0.83,DEAL_TYPE_BUY,0.5,-4.5,-1.2,9,28,secretTPSL_sl,profit=-4.5|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,0.3,4.5,4.5,0.0510,-0.027,69,1162,,unknown,unknown,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly_stacked_friday_monday_thursday_tuesday_wednesday,8,0,13,0
2026.01.08,US500.pro,2026.01.08 06:14:19,2026.01.08 06:41:53,ON,291460004110000909,6952.3,6947.8,-4.5,-0.83,DEAL_TYPE_BUY,0.5,-4.5,-1.2,9,28,secretTPSL_sl,profit=-4.5|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,0.3,4.5,4.5,0.0510,-0.027,69,1162,,unknown,unknown,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly_stacked_friday_monday_thursday_tuesday_wednesday,8,0,13,0
2026.01.08,US500.pro,2026.01.08 06:14:58,2026.01.08 06:52:18,ON,101460003110000909,6951.5,6946.8,-4.7,-0.87,DEAL_TYPE_BUY,1.3,-4.7,-0.7,9,39,secretTPSL_sl,profit=-4.7|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,-0.5,4.5,4.5,0.2902,-0.016,531,1299,,unknown,unknown,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly_stacked_friday_monday_thursday_tuesday_wednesday,8,0,13,0
2026.01.09,US500.pro,2026.01.09 11:00:32,2026.01.09 12:34:21,ON,122570111110000909,6968.1,6972.8,-4.7,-0.87,DEAL_TYPE_SELL,2.1,-4.7,-0.9,70,95,secretTPSL_sl,profit=-4.7|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6969.0,weeklyUp2,1,1,0.9,4.5,4.5,0.5834,-0.008,2637,1847,,unknown,unknown,PD_green,false,false,PDH;ONH;dayHighSoFar,PDO;PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_stacked_tuesday,13,1,7,0
2026.01.09,US500.pro,2026.01.09 12:56:04,2026.01.09 14:18:22,ON,101571603110000909,6968.5,6973.1,4.6,0.83,DEAL_TYPE_BUY,4.6,-3.4,-0.7,83,42,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6969.0,weeklyUp2,1,1,-0.5,4.5,4.5,0.4935,0.008,2120,2176,,unknown,unknown,PD_green,false,false,PDH;ONH;dayHighSoFar,PDO;PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_stacked_tuesday,18,6,8,1
2026.01.09,US500.pro,2026.01.09 18:33:10,2026.01.09 19:00:06,RTH-afterIB,122580011210000909,7009.1,7004.5,4.6,0.83,DEAL_TYPE_SELL,4.6,-0.9,-0.7,28,1,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,7010.0,weeklyUp3,2,1,0.9,4.5,4.5,0.8874,0.027,1426,181,28,100.00,gapUp_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,weekly,0,0,0,0
2026.01.09,US500.pro,2026.01.09 18:33:10,2026.01.09 19:00:06,RTH-afterIB,142580009110000909,7009.1,7004.5,4.6,0.83,DEAL_TYPE_SELL,4.6,-0.9,-0.7,28,1,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,7010.0,weeklyUp3,1,1,0.9,4.5,4.5,0.8874,0.027,1426,181,28,100.00,gapUp_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,weekly,0,0,0,0
2026.01.09,US500.pro,2026.01.09 18:33:10,2026.01.09 19:00:06,RTH-afterIB,232580009110000909,7009.1,7004.5,4.6,0.83,DEAL_TYPE_SELL,4.6,-0.9,-0.7,28,1,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,7010.0,weeklyUp3,1,1,0.9,4.5,4.5,0.8874,0.027,1426,181,28,100.00,gapUp_Day,PD_green,true,false,,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;RTHL;IBL;IBH;dayHighSoFar;dayLowSoFar;midpoint,weekly,0,0,0,0
2026.01.12,US500.pro,2026.01.12 01:05:24,2026.01.12 01:32:26,ON,101152003110000909,6993.1,6988.3,-4.8,-0.87,DEAL_TYPE_BUY,2.5,-4.8,-1.2,5,28,secretTPSL_sl,profit=-4.8|lossThreshold=-4.5|slWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,-0.9,4.5,4.5,0.6011,-0.010,904,424,,unknown,unknown,PD_green,false,false,PDH;PDC;ONH;dayHighSoFar;midpoint,PDO;PDL;ONL;dayLowSoFar,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,0,0,2,2
2026.01.12,US500.pro,2026.01.12 09:39:21,2026.01.12 10:01:35,ON,101141003210000909,6951.5,6956.1,4.6,0.82,DEAL_TYPE_BUY,4.6,-1.4,-0.7,23,12,secretTPSL_tp,profit=4.6|threshold=4.5|tpWhole=9|pct=50,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyDown1,2,1,-0.5,4.5,4.5,0.7566,0.043,979,315,,unknown,unknown,PD_green,false,true,PDO;PDH;PDL;PDC;ONH;dayHighSoFar;midpoint,ONL;dayLowSoFar,weekly_stacked_friday_monday_thursday,0,0,1,1
