date,symbol,startTime,endTime,session,magic,priceStart,priceEnd,priceDiff,profit,type,MFE,MAE,mfeCandle,maeCandle,close_decision,close_detail,reason,volume,bothComments,level,levelTag,planTradeNumToday,levelTradeNumToday,offset,tp,sl,greenRatio_at_close,avg_profitVelocity_5,secondsGreen,secondsRed,time_to_reach_neutral_TP,3c_30c_level_breakevenC,gapFillPc_at_tradeOpenTime,openGap_info,PD_trend,dayBrokePDH,dayBrokePDL,referencePointsAbove,referencePointsBelow,levelCats,wCeilingC,dCeilingC,wBounceC,dBounceC
2026.01.06,US500.pro,2026.01.06 03:48:49,2026.01.06 08:45:30,ON,122260014110002222,6950.6,6952.5,-1.9,-0.36,DEAL_TYPE_SELL,0.1,-8.7,24,238,terribletrade_try_smaller_loss_TP,profit=-1.9|target=-2.0|MAE=-8.7,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyUp1,1,1,1.4,11.0,11.0,0.0020,-0.001,25,12289,,,unknown,unknown,PD_green,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_stacked_friday_monday_thursday_tuesday_wednesday,6,0,9,0
2026.01.09,US500.pro,2026.01.09 10:38:02,2026.01.09 12:55:12,ON,122570214110002222,6967.6,6969.5,-1.9,-0.36,DEAL_TYPE_SELL,2.3,-5.9,7,128,terribletrade_try_smaller_loss_TP,profit=-1.9|target=-2.0|MAE=-5.9,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6969.0,weeklyUp2,1,1,1.4,11.0,11.0,0.3837,-0.003,2571,4088,201,,unknown,unknown,PD_green,false,false,PDH;ONH;dayHighSoFar,PDO;PDL;PDC;ONL;dayLowSoFar;midpoint,weekly_stacked_tuesday,20,2,9,0
2026.01.12,US500.pro,2026.01.12 15:41:34,2026.01.12 15:46:13,RTH-IB,122153114110002222,6992.6,6989.5,3.1,0.57,DEAL_TYPE_SELL,3.3,-2.7,6,3,strong_momentum_stall,profit=3.1|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=-0.2|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,1.4,11.0,11.0,0.4203,0.107,116,160,243,,63.80,gapDown_Day,PD_green,false,true,PDH;PDC;ONH;RTHH;dayHighSoFar,PDO;PDL;ONL;RTHL;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,1,1,3,3
2026.01.14,US500.pro,2026.01.14 16:06:48,2026.01.14 16:07:19,RTH-IB,122341114110002222,6950.6,6946.5,4.1,0.75,DEAL_TYPE_SELL,4.1,-1.2,2,1,strong_momentum_strong_tp,profit=4.1|threshold=3.8,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6952.0,weeklyDown1,1,1,1.4,11.0,11.0,0.5333,0.238,16,14,29,3,25.35,gapDown_Day,PD_red,false,true,PDO;PDH;PDL;PDC;ONH;ONL;RTHH;dayHighSoFar;midpoint,RTHL;dayLowSoFar,weekly_stacked_friday_monday_thursday,1,1,8,1
2026.01.15,US500.pro,2026.01.15 12:19:38,2026.01.15 12:44:12,ON,122450014110002222,6992.6,6990.0,2.6,0.47,DEAL_TYPE_SELL,2.6,-1.2,26,19,strong_momentum_stall,profit=2.6|stallMinClose=2.5|stall_velocity|vel=0.000|velMax=0.100|giveback=0.0|givebackMax=99.0,DEAL_REASON_EXPERT,0.001,Falgo_placeholder| ,6994.0,weeklySmash,1,1,1.4,11.0,11.0,0.7168,0.021,891,345,1110,,unknown,unknown,PD_red,false,false,PDH,PDO;PDL;PDC;ONH;ONL;dayHighSoFar;dayLowSoFar;midpoint,weekly_smash_stacked_friday_monday_thursday_tuesday_wednesday,22,0,17,0
